u_puuid,v_puuid,games,wins,first_ts,last_ts,winrate
-Afd_ffzlASg1FKT0JI8OYPgOd1EET9vHujWm0VoFUw75Wj2a_Pc4cSj7tX_Y1bQHlMkZLve_5LXyg,FZ-N3kcYe03O_vJOx6W6V1GiHZxWEIlymXOeOzXAIoBBO7F8EKcf41TDJ0hiv9X2yt8Ln9nCxGBC_g,1,0,1770519467054,1770519467054,0.0
-Afd_ffzlASg1FKT0JI8OYPgOd1EET9vHujWm0VoFUw75Wj2a_Pc4cSj7tX_Y1bQHlMkZLve_5LXyg,G58wjygjuT3czDQubipSbGrFIL--C-avHqf6Gov1fWadizBL1hVbQGPmaEGdPgR-vkmzYedapjPq0Q,1,1,1770575290610,1770575290610,1.0
-Afd_ffzlASg1FKT0JI8OYPgOd1EET9vHujWm0VoFUw75Wj2a_Pc4cSj7tX_Y1bQHlMkZLve_5LXyg,GgZQvOHgsLNPdapbTZ105iZU5XRvJEewCwPPHqiqZBJOtF2mOgyk3UCwNY0iEVUXulhTRgFiFsMLdA,1,1,1770521059350,1770521059350,1.0
-Afd_ffzlASg1FKT0JI8OYPgOd1EET9vHujWm0VoFUw75Wj2a_Pc4cSj7tX_Y1bQHlMkZLve_5LXyg,Gz8PuChjNJnZF9G51F_QDIlsbY45Lq2AWN0n42bv3cDDj_jU_JScWHy4RTubCo9BYMfqLxzuoVjlbg,1,1,1770514723560,1770514723560,1.0
-Afd_ffzlASg1FKT0JI8OYPgOd1EET9vHujWm0VoFUw75Wj2a_Pc4cSj7tX_Y1bQHlMkZLve_5LXyg,HA47Vc4qiye-ORqCbbIeYlqvWV0wa5u7-pnL83g3zItpuA4uM5u_bX9RE6ESkrXZ_0yL8zSevFpJpw,1,1,1770589396899,1770589396899,1.0
-Afd_ffzlASg1FKT0JI8OYPgOd1EET9vHujWm0VoFUw75Wj2a_Pc4cSj7tX_Y1bQHlMkZLve_5LXyg,Hv7y8z7Vf7f4wRdfwik7s5NoLWuxZAw1Q6hCf7TiWnsW3OVP5jTFLIa19h8fRn_1mdkgNtWCfZWCgQ,1,0,1770607733383,1770607733383,0.0
-Afd_ffzlASg1FKT0JI8OYPgOd1EET9vHujWm0VoFUw75Wj2a_Pc4cSj7tX_Y1bQHlMkZLve_5LXyg,Hwrxgg7qWoadJyQQR-YJ4Z61-jqqmBgVkAR676boxICSxV7l53NB9EwBTkbT4HwacPQn3nC6r3rFAQ,1,1,1770575290610,1770575290610,1.0
-Afd_ffzlASg1FKT0JI8OYPgOd1EET9vHujWm0VoFUw75Wj2a_Pc4cSj7tX_Y1bQHlMkZLve_5LXyg,JIV5cQ_0ZgOpOTTdiwFQ6QOX8tuhT4iAxsfS2SRCw3fNqGLvjRRQfKKdgL7srgApYm1wX5rVNKzJzQ,1,0,1770607733383,1770607733383,0.0
-Afd_ffzlASg1FKT0JI8OYPgOd1EET9vHujWm0VoFUw75Wj2a_Pc4cSj7tX_Y1bQHlMkZLve_5LXyg,K6PXlbCuW1fwxSyM33AIVC8MtM-5f1J51GnOAZIB3cHWDs0hboN08YU30KpXUN4oC89PbjUlMz4QNA,1,1,1770575290610,1770575290610,1.0
-Afd_ffzlASg1FKT0JI8OYPgOd1EET9vHujWm0VoFUw75Wj2a_Pc4cSj7tX_Y1bQHlMkZLve_5LXyg,KttRArcey_IKvrtSYY83WFD-pLC0TJSnkIGDCs57iCTuLtH0XShz_9NkPOl2UEeM-2D6A2-ff90w8g,1,1,1770575290610,1770575290610,1.0
