puuid,games,wins,winrate
-bZGSCJl7O0yh5zg98Pzak18i4Doj5PbI9Ix-2SJ65VAaJtZHVx7a_UpuV5ZKUZYzh64azqXIIT6rg,1,1,1.0
-bxXmISyelJfQZjCCBnE03lnY4ZpnxR-A0KcpN75Ji03vlJkY86vkkUGDO6Te7-AxDqXiEhrPv9z5w,1,0,0.0
-c-VQ7y06BpfHXxEe57U8EoCKdyYYbGaZtFO4HAQ56CvglUE64yJNiKE3_t0xUoEyDxxiK2iU9Omig,1,0,0.0
-c7-YyMfEbK1Vl6nUXHUKZV97H3KgAlWYh-zhRuClR6bnDdaIP1qpQ0T8JzWvUkq6NRA3hmszxYzcw,1,0,0.0
-c8-QdjeRXXCjrF-OgNS6uSgsM8ujRfshJVJZHHeUCyx14YgPZHUOqt8leiKyGKAPncb2FQ-O_P2iQ,1,0,0.0
-chKAhPuX63dPvvO_YTHKbrWQ7LMYAHpETX74Zwgk4jyVKyY4uS6lD7g7q9j8BzMwTuuoboBVD2H-w,1,0,0.0
-dGnua16HW1xcP1uuEooqiRxubTDq80zaIPfeHBTh3pLQckbGdmkuUZpunJTYK-0A7_FJ9nrLkPEmQ,1,1,1.0
-dQjtWH5vlEWDSK2ZTza2rXUBf7SSYFvoNMD_ILuEf4tLgPsO_bXZarGxXtT9eZn3G8os3L8f1mz9g,1,0,0.0
-djqbBJBYzNNEfMnnvrTdQOJ_keP35XHqjAg5KwgYhoGuj1t7kFB_M41E-7DsPrpqdNj7svWoDjVCA,1,1,1.0
-do4VW0cwiBWNml3izKqXxlsSc602enTw8qgGwJckNdSL9oIn-rHoMOVJjyFZQTD8fV7e3YJUUWc6A,1,0,0.0
-dxGcD7ql4UEPBFvPGqtKTgCzExTWJ80mKwaLDYVap909-lBktlOdaca3DPpXqVDoHTsLEno47MKRA,2,1,0.5
-f21ZlnA_RGFbzxgHn_MNZv8dQ-8VArYRlF65rxywp0c-jlzlUk_8_jNQrsAOuzX97C4dIphKsulzw,1,1,1.0
