puuid,games,wins,winrate
-DxHaV-xoIY8HCuGrHSd8ZK3lIchoPVb-4p9kfNNpYlisywP-pVJTlEGLmR8TpSQlWTl7saMDXCJTg,14,6,0.42857142857142855
-E-CLD_5DaHO4-SjyR6nmkiErAlOaxe8ozeDQXV-9AVYrH4YpYIN7f3de1CkckSbxFa9xFrozLC1dg,1,0,0.0
-E7eMpDx6ittIorsU3umr8ZSQqRl9gGGH4Xppcvj3ctVkOz9xrMLqUeM0gViJFCoQONseL1M4_c0Ug,1,0,0.0
-EFCg3nyA0dzHvoY2o3y5j8OJUhJ-vDtwTVQpCD915T0QCJZlFH1e-K-RSqsoSYUO-eQFu2X5r5fcA,1,1,1.0
-EVA5Z7wejNGFa-pSg285ajC-bHPQPz2pCTIT2TpB6nzNpPUntp1t0yuQ4KE_xiP5HbaFE9rNgpQLA,4,3,0.75
-Ef8jOGI-GjxHy6IElT85Q9i3qB3oZruVjBf2W5riqNv_1Z2f1wyTnrXJuELfZsg8HXpcktbWxYNMw,1,1,1.0
-Emled4nrE6QvkJpUg8iFcokYHuBZFUpHasHVQRRFaAnrHlIDnKamaU2XMAAl9kz67R8A6dlsy2UTg,8,5,0.625
-EyLiWnyIKXZ3bKNoGtXkYKdSlwGia1E3Al62lBu8bfNsgdSZpe06gKqCdUaElDAJSHTvjuE61RUbg,8,5,0.625
-F-oKrNPG56CBZjaROIgSBJecNCMSNTQ15FFYuqtqA7x_6-ek5sUqM_7hsA8Dy1NQk05mil824CCrA,9,5,0.5555555555555556
-F2EPtjZcGrJNmSGBvFNdtajglek8PhDTU-8Murzsf1tAsW75nBX0jt2PAaAo9GY74D556s0WKJ3qA,1,1,1.0
-F3AlFq8cG7ZT8k15fKoBMvwPVwwAl1U4FYc8CtLCiXjEmtu1bY6JgaAWIl_AhXJQzFjVAd3b0qF1A,4,1,0.25
-F7OWCKs3cFOcxf8QPsfkuZSZ-9h3UkQBHcHVVwZ5RMCkAa2LpYzwHJXoscq2LMe96Z_k3dmGhTu_g,1,1,1.0
-FIOQjtlK5yW3tmvWxYbFU3-hZ3YSJRC031-Ax-Y3hf3NjfFH1zbU9Cqe5KJCgAAMsMOKdDrVSX4xw,2,2,1.0
-FKONnwd-T6cDGoFc8SmWf_fd7984sn9z7OwFItBNpT1SBO_xnNQiBG2pPorAVdN7PpofxGJgKNDQQ,1,1,1.0
-FOhI72YZcAAf_9L2_WiLJkBaRh4XEibBJG0CMz4TWlsUaAjbaWKxRN2bYm83U_fVh8I8MpIxGc08A,1,0,0.0
-FPgwhHvmUXAGIuAU805QEf0aLkhxC54rb-Iy7k82yDClK2V1J73iHlQe8wcMSmft1rEh-OFltkgiQ,1,0,0.0
-FeD1_UU15qPj3ilFnmK7Gl4sfXP6AAveyMHBW0n5BZ0e_O9Y68opc00TeX-bqPy43cOqRdkF4clow,7,6,0.8571428571428571
-G32JP7tGAz0xKStHpBbOFFvyHl77GgBFQ_sZYSppLsPm8Ik0s-7FlkADac7fHJQLqFT_AeNm84FvQ,4,2,0.5
-GE1sCwBfxjeDXzvjoigk3RA1kGL48wh-STL2s9VB0Px625nFIo8hLenjBVNeRzjAtp5YhBqTljKxg,1,0,0.0
-Gdt71WKjq9b5lV8ZZb12DpTqBHn_Z-uJG-PfSlKNuXY_dzY8ITt3Jt-D3sOCCTFJ-6hxSPdW5CbmA,4,2,0.5
-Gpl-7Jo4kjq-99WQMb-lHCj5YA5KfxDCaIjIfxyjJET7f_Rizd4EZrYUa-snJ_EIdoGiRX2_Tux0Q,1,1,1.0
-H4BLX0NhnaiX-bcHRiQpa2N7i7VSYGWS8OFQmFNlmEusuc6cxY0ZmfFSZQFG5RcRTBd1_Ia0JuFCQ,1,0,0.0
-H88iysUPKD7k2N1wwtFNjiqbAxO5rK-QorwOuM6DwcmixnwX2X6ibkFp1tYp3dc61N5zYn5shFjBg,8,4,0.5
-HIhLPe-pE80iDBJM0eo3nYKUyZSVNo0IwJr1zeiH1rNU7rvGq-MLdnUJ52XRNeFF3gZhHD-Xv2-zA,2,2,1.0
-HK4GJNrelk7kON2K50R848fc-FVheLj9ujNhNw_3rAT6hOpBlGJerfzvmAQ7yEAIdpewSFriKp-uw,2,1,0.5
-HN3DcTHzDH7aPXVKX8h4TkTMsyRTI0Ehc3UoGTsjipakfhQLIpCDtvTQHMkUvgRezRCZ595oaWAMA,1,1,1.0
-HOgjlz6Rp3XGPX0UZ58J5cz4N2xqnzvq24R5UtSCk_Rx0UgoyDwfZuhXd1FnbQl-_Q6zf7KoraxmA,1,1,1.0
-HVADBAD2VQd5ZEYi0or8f0c57v0vXvpNWRnHOQ5GFm4MUJUR8tBuqLoJo98DuW6vj8jz7Brj6ZOFQ,3,1,0.3333333333333333
